scenario,metric,mean,std,ci95_lo,ci95_hi,n,sim_time
Normal,W,0.1744212944461492,0.011001090688877817,0.16927262551742245,0.17956996337487596,20,3600
Normal,X,0.03215277777777777,0.0028893878898769614,0.03080050261958013,0.033505052935975416,20,3600
Normal,rho,2.8024398290103536e-05,2.8396337811086298e-06,2.669540877158806e-05,2.9353387808619014e-05,20,3600
Normal,L,0.0,0.0,0.0,0.0,20,3600
Extreme 200w,W,8.618078689612124,0.08193385624801339,8.579732464514516,8.656424914709733,20,3600
Extreme 200w,X,0.6255833333333334,0.014080808509851208,0.618993312096683,0.6321733545699838,20,3600
Extreme 200w,rho,0.026958644983345954,0.0007417730480709224,0.026611484510554752,0.027305805456137155,20,3600
Extreme 200w,L,0.0,0.0,0.0,0.0,20,3600
Extreme 1w,W,1477.9635236072413,26.433468821392758,1465.592279387178,1490.3347678273046,20,3600
Extreme 1w,X,0.1153888888888889,0.0024037684297925992,0.1142638906340486,0.1165138871437292,20,3600
Extreme 1w,rho,0.9985703567916454,0.0010415565517173013,0.9980828933203406,0.9990578202629502,20,3600
Extreme 1w,L,924.3476388888888,21.554853983334073,914.2596566964108,934.4356210813668,20,3600
